0,1,2,3,4,5,6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,DATE,2025-09-11 00:00:00,,,,
,,,,,,
,LAB CALIBRATION,,,,,
,DatE,2025-09-11 00:00:00,,,,
,,CALI-0,CALI-1,CALI-2,,
,Tare weight [g],,,,,
,Tare + Salt [g],,,,,
,Tare + Salt + Water [g],,,,,
,Salt [g],0,0,0,,
,Water Volue [L],0,0,0,,
,Conc [g/L],,,,,
,spCOND [uS/cm],,,,,
,,,,,,
,ESTIM. COEFFICIENTS FROM LAB CALIBRATION,Conc = a + b * spCOND,,,,
,b,,(g/L) / (mS/cm),,,
,a,,15,,,
,,,,,,
,COEFFICIENTS FROM PREVIOUS CALIBRATION,Conc = a + b * spCOND,,,,
,b,0.0005219489557304609,,,,
,a,-0.012659339533307482,,,,
,,,,,,
,,,,,,
,DISCHARGE CALCULATION,,,,,
,,# Measurement,,1,2.0,3.0
,,# Bucket,,,,
,,Point Description,,P2 - FP1 brunch,,
,Mass Salt ,added,[g],3500,,
,Background Conductivity,spCOND,[uS/cm],359,,
,Time-step for logging,dt,[s],10,,
,Discharge,Q,[L/s],468.84366789022783,,
,Conductivity Timeseries ,(past in each column the conductivity data from logger),,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359,,
,,,,359.4,,
,,,,359.6,,
,,,,359.3,,
,,,,359.2,,
,,,,361.6,,
,,,,375.2,,
,,,,419.2,,
,,,,487.4,,
,,,,530,,
,,,,559.4,,
,,,,557.4,,
,,,,542.4,,
,,,,483.6,,
,,,,454.55,,
,,,,425.5,,
,,,,419.1,,
,,,,408.5,,
,,,,394.3,,
,,,,381,,
,,,,369.2,,
,,,,366.6,,
,,,,358.6,,
,,,,360,,
,,,,362.1,,
,,,,361,,
,,,,361,,
,,,,360.2,,
,,,,348,,
,,,,357.9,,
